Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
579.69	100.00	2.2927	0.43617	21.882	26.707	119.16	42.994	51.418	600.01	0.0094459	18.984	0.084860	vapor
580.69	100.00	2.2887	0.43693	21.925	26.758	119.25	43.053	51.477	600.47	0.0093915	19.008	0.085068	vapor
581.69	100.00	2.2847	0.43769	21.968	26.810	119.34	43.112	51.535	600.92	0.0093374	19.032	0.085276	vapor
582.69	100.00	2.2808	0.43844	22.012	26.861	119.43	43.171	51.594	601.37	0.0092836	19.055	0.085484	vapor
583.69	100.00	2.2769	0.43920	22.055	26.913	119.51	43.230	51.653	601.82	0.0092301	19.079	0.085692	vapor
584.69	100.00	2.2730	0.43995	22.098	26.965	119.60	43.290	51.712	602.27	0.0091769	19.103	0.085900	vapor
585.69	100.00	2.2691	0.44071	22.142	27.016	119.69	43.349	51.770	602.72	0.0091241	19.127	0.086109	vapor
586.69	100.00	2.2652	0.44147	22.185	27.068	119.78	43.408	51.829	603.17	0.0090715	19.150	0.086317	vapor
587.69	100.00	2.2613	0.44222	22.228	27.120	119.87	43.467	51.888	603.63	0.0090192	19.174	0.086526	vapor
588.69	100.00	2.2574	0.44298	22.272	27.172	119.96	43.526	51.946	604.07	0.0089672	19.198	0.086735	vapor
589.69	100.00	2.2536	0.44374	22.316	27.224	120.04	43.585	52.005	604.52	0.0089154	19.221	0.086943	vapor
590.69	100.00	2.2498	0.44449	22.359	27.276	120.13	43.644	52.064	604.97	0.0088640	19.245	0.087152	vapor
591.69	100.00	2.2459	0.44525	22.403	27.328	120.22	43.703	52.122	605.42	0.0088129	19.269	0.087362	vapor
592.69	100.00	2.2421	0.44601	22.447	27.380	120.31	43.762	52.181	605.87	0.0087620	19.292	0.087571	vapor
593.69	100.00	2.2383	0.44676	22.491	27.432	120.40	43.821	52.239	606.32	0.0087114	19.316	0.087780	vapor
594.69	100.00	2.2345	0.44752	22.535	27.485	120.48	43.880	52.298	606.77	0.0086612	19.339	0.087990	vapor
